group_model,condition,topic_id,model_a,model_b,role_a,role_b,seed,conv_id,group_index,task_index
qwen2.5-7b,mixed_play,four_day_workweek,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__449ffd661b,1,37
qwen2.5-7b,mixed_play,four_day_workweek,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__90a5e038aa,1,36
qwen2.5-7b,mixed_play,free_college,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__free_college__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__ca9e9ea448,1,47
qwen2.5-7b,mixed_play,free_college,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__free_college__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__337c30dd4f,1,46
qwen2.5-7b,mixed_play,medical_marijuana,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__f2afca20c8,1,35
qwen2.5-7b,mixed_play,medical_marijuana,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__b2f7570ce6,1,34
qwen2.5-7b,mixed_play,school_uniforms,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__d3d0a23468,1,43
qwen2.5-7b,mixed_play,school_uniforms,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__501ccc586b,1,42
qwen2.5-7b,mixed_play,social_media,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__social_media__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__45dcc3e6f4,1,39
qwen2.5-7b,mixed_play,social_media,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__social_media__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__90a259531a,1,38
qwen2.5-7b,mixed_play,zoos,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__zoos__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__9652444693,1,45
qwen2.5-7b,mixed_play,zoos,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__zoos__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__96b3dff252,1,44
qwen2.5-7b,self_play,death_penalty,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__death_penalty__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__0057e9a698,1,17
qwen2.5-7b,self_play,death_penalty,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__death_penalty__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__25e1807d9d,1,16
qwen2.5-7b,self_play,electric_vehicles,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__electric_vehicles__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__4c2e0be31d,1,25
qwen2.5-7b,self_play,electric_vehicles,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__electric_vehicles__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__2c7710f580,1,24
qwen2.5-7b,self_play,four_day_workweek,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__four_day_workweek__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__b9719a8107,1,21
qwen2.5-7b,self_play,four_day_workweek,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__four_day_workweek__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__449b35ba16,1,20
qwen2.5-7b,self_play,free_college,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__free_college__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__7e5e644bb7,1,31
qwen2.5-7b,self_play,free_college,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__free_college__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__75e8c7c525,1,30
qwen2.5-7b,self_play,medical_marijuana,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__medical_marijuana__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__2eba131fec,1,19
qwen2.5-7b,self_play,medical_marijuana,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__medical_marijuana__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__3972ebf67e,1,18
qwen2.5-7b,self_play,school_uniforms,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__school_uniforms__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__d6460f4185,1,27
qwen2.5-7b,self_play,school_uniforms,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__school_uniforms__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__d8ad67edd2,1,26
qwen2.5-7b,self_play,social_media,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__social_media__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__8a3990810b,1,23
qwen2.5-7b,self_play,social_media,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__social_media__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__a61adcf513,1,22
qwen2.5-7b,self_play,zoos,qwen2.5-7b,qwen2.5-7b,opposer,supporter,0,q1__zoos__self_play__qwen2_5_7b__qwen2_5_7b__opp_sup__s0__7989e33a03,1,29
qwen2.5-7b,self_play,zoos,qwen2.5-7b,qwen2.5-7b,supporter,opposer,0,q1__zoos__self_play__qwen2_5_7b__qwen2_5_7b__sup_opp__s0__2c4d963c7f,1,28
gemma2-2b,mixed_play,death_penalty,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__d998c33205,2,65
gemma2-2b,mixed_play,death_penalty,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__200f8d2115,2,64
gemma2-2b,mixed_play,electric_vehicles,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__e541980607,2,73
gemma2-2b,mixed_play,electric_vehicles,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__91debacc7e,2,72
gemma2-2b,mixed_play,four_day_workweek,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__cd8e1c267e,2,69
gemma2-2b,mixed_play,four_day_workweek,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__600bfae17b,2,68
gemma2-2b,mixed_play,free_college,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__free_college__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__b1f3d043d8,2,79
gemma2-2b,mixed_play,free_college,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__free_college__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__47b17a51fd,2,78
gemma2-2b,mixed_play,medical_marijuana,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__ab0f795b35,2,67
gemma2-2b,mixed_play,medical_marijuana,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__06ddc2658c,2,66
gemma2-2b,mixed_play,school_uniforms,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__3755faa59e,2,75
gemma2-2b,mixed_play,school_uniforms,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__685aef3926,2,74
gemma2-2b,mixed_play,social_media,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__social_media__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__3da209d94f,2,71
gemma2-2b,mixed_play,social_media,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__social_media__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__f53c0cb59a,2,70
gemma2-2b,mixed_play,zoos,gemma2-2b,qwen2.5-3b,opposer,supporter,0,q1__zoos__mixed_play__gemma2_2b__qwen2_5_3b__opp_sup__s0__23ef0de63d,2,77
gemma2-2b,mixed_play,zoos,gemma2-2b,qwen2.5-3b,supporter,opposer,0,q1__zoos__mixed_play__gemma2_2b__qwen2_5_3b__sup_opp__s0__921b49c9a3,2,76
gemma2-2b,self_play,death_penalty,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__death_penalty__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__970b98f3da,2,49
gemma2-2b,self_play,death_penalty,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__death_penalty__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__6cc9fd3232,2,48
gemma2-2b,self_play,electric_vehicles,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__electric_vehicles__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__631b0c4a0f,2,57
gemma2-2b,self_play,electric_vehicles,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__electric_vehicles__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__79e9b1e443,2,56
gemma2-2b,self_play,four_day_workweek,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__four_day_workweek__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__447b28494d,2,53
gemma2-2b,self_play,four_day_workweek,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__four_day_workweek__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__f1e3d327da,2,52
gemma2-2b,self_play,free_college,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__free_college__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__d80c873cf0,2,63
gemma2-2b,self_play,free_college,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__free_college__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__f1218468da,2,62
gemma2-2b,self_play,medical_marijuana,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__medical_marijuana__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__f970d4e22d,2,51
gemma2-2b,self_play,medical_marijuana,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__medical_marijuana__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__15b7c21552,2,50
gemma2-2b,self_play,school_uniforms,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__school_uniforms__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__307901eb9d,2,59
gemma2-2b,self_play,school_uniforms,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__school_uniforms__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__568663b0f3,2,58
gemma2-2b,self_play,social_media,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__social_media__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__2f7f92f41a,2,55
gemma2-2b,self_play,social_media,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__social_media__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__8e74edf018,2,54
gemma2-2b,self_play,zoos,gemma2-2b,gemma2-2b,opposer,supporter,0,q1__zoos__self_play__gemma2_2b__gemma2_2b__opp_sup__s0__9c50714d9d,2,61
gemma2-2b,self_play,zoos,gemma2-2b,gemma2-2b,supporter,opposer,0,q1__zoos__self_play__gemma2_2b__gemma2_2b__sup_opp__s0__987f7fe129,2,60
gemma2-9b,mixed_play,death_penalty,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,3,97
gemma2-9b,mixed_play,death_penalty,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,3,96
gemma2-9b,mixed_play,electric_vehicles,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__8d7d39b430,3,105
gemma2-9b,mixed_play,electric_vehicles,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__c77007c354,3,104
gemma2-9b,mixed_play,four_day_workweek,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__4eece27ba1,3,101
gemma2-9b,mixed_play,four_day_workweek,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__1856a9885d,3,100
gemma2-9b,mixed_play,free_college,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__free_college__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__78c522ee27,3,111
gemma2-9b,mixed_play,free_college,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__free_college__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__5c8241c19d,3,110
gemma2-9b,mixed_play,medical_marijuana,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__30c5a4c96b,3,99
gemma2-9b,mixed_play,medical_marijuana,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__038ccecd29,3,98
gemma2-9b,mixed_play,school_uniforms,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__e5de748bc3,3,107
gemma2-9b,mixed_play,school_uniforms,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__177930e0b1,3,106
gemma2-9b,mixed_play,social_media,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__social_media__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__8fec08c84a,3,103
gemma2-9b,mixed_play,social_media,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__social_media__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__916d35463c,3,102
gemma2-9b,mixed_play,zoos,gemma2-9b,qwen2.5-3b,opposer,supporter,0,q1__zoos__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__3eb23a4715,3,109
gemma2-9b,mixed_play,zoos,gemma2-9b,qwen2.5-3b,supporter,opposer,0,q1__zoos__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__f60e660fa6,3,108
gemma2-9b,self_play,death_penalty,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,3,81
gemma2-9b,self_play,death_penalty,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__death_penalty__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__e984994c76,3,80
gemma2-9b,self_play,electric_vehicles,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__electric_vehicles__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__fe04ea005f,3,89
gemma2-9b,self_play,electric_vehicles,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__electric_vehicles__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__1a0601e4f2,3,88
gemma2-9b,self_play,four_day_workweek,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__four_day_workweek__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__d0c7acc109,3,85
gemma2-9b,self_play,four_day_workweek,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__four_day_workweek__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__19426fc16d,3,84
gemma2-9b,self_play,free_college,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__free_college__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__e3b3736b44,3,95
gemma2-9b,self_play,free_college,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__free_college__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__500fbdbabe,3,94
gemma2-9b,self_play,medical_marijuana,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__medical_marijuana__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__d50c849f73,3,83
gemma2-9b,self_play,medical_marijuana,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__medical_marijuana__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__086b81987a,3,82
gemma2-9b,self_play,school_uniforms,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__school_uniforms__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ba312bf85e,3,91
gemma2-9b,self_play,school_uniforms,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__school_uniforms__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__f22df68aaa,3,90
gemma2-9b,self_play,social_media,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__social_media__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__1dbd111ff5,3,87
gemma2-9b,self_play,social_media,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__social_media__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__e0512fe0ec,3,86
gemma2-9b,self_play,zoos,gemma2-9b,gemma2-9b,opposer,supporter,0,q1__zoos__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__3d77968ccc,3,93
gemma2-9b,self_play,zoos,gemma2-9b,gemma2-9b,supporter,opposer,0,q1__zoos__self_play__gemma2_9b__gemma2_9b__sup_opp__s0__4be4b25e1e,3,92
llama3-8b,mixed_play,death_penalty,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,4,129
llama3-8b,mixed_play,death_penalty,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,4,128
llama3-8b,mixed_play,electric_vehicles,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__b325de73af,4,137
llama3-8b,mixed_play,electric_vehicles,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__a84d588215,4,136
llama3-8b,mixed_play,four_day_workweek,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__c50a3c79f9,4,133
llama3-8b,mixed_play,four_day_workweek,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__5d1d4f962b,4,132
llama3-8b,mixed_play,free_college,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__free_college__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__c8eb0f27dc,4,143
llama3-8b,mixed_play,free_college,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__free_college__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__0b519a3cb5,4,142
llama3-8b,mixed_play,medical_marijuana,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__bf6e2bbafa,4,131
llama3-8b,mixed_play,medical_marijuana,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__99ea305899,4,130
llama3-8b,mixed_play,school_uniforms,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__bcd0356a12,4,139
llama3-8b,mixed_play,school_uniforms,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__57eac05014,4,138
llama3-8b,mixed_play,social_media,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__social_media__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__0b29ec5473,4,135
llama3-8b,mixed_play,social_media,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__social_media__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__b49187f9ec,4,134
llama3-8b,mixed_play,zoos,llama3-8b,qwen2.5-3b,opposer,supporter,0,q1__zoos__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__5f0b934f74,4,141
llama3-8b,mixed_play,zoos,llama3-8b,qwen2.5-3b,supporter,opposer,0,q1__zoos__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__9cd1abc3ad,4,140
llama3-8b,self_play,death_penalty,llama3-8b,llama3-8b,opposer,supporter,0,q1__death_penalty__self_play__llama3_8b__llama3_8b__opp_sup__s0__1f840ab0ac,4,113
llama3-8b,self_play,death_penalty,llama3-8b,llama3-8b,supporter,opposer,0,q1__death_penalty__self_play__llama3_8b__llama3_8b__sup_opp__s0__2b27b3b9af,4,112
llama3-8b,self_play,electric_vehicles,llama3-8b,llama3-8b,opposer,supporter,0,q1__electric_vehicles__self_play__llama3_8b__llama3_8b__opp_sup__s0__5e9dc6120a,4,121
llama3-8b,self_play,electric_vehicles,llama3-8b,llama3-8b,supporter,opposer,0,q1__electric_vehicles__self_play__llama3_8b__llama3_8b__sup_opp__s0__fabb0650f5,4,120
llama3-8b,self_play,four_day_workweek,llama3-8b,llama3-8b,opposer,supporter,0,q1__four_day_workweek__self_play__llama3_8b__llama3_8b__opp_sup__s0__f9a2614793,4,117
llama3-8b,self_play,four_day_workweek,llama3-8b,llama3-8b,supporter,opposer,0,q1__four_day_workweek__self_play__llama3_8b__llama3_8b__sup_opp__s0__7bb8090769,4,116
llama3-8b,self_play,free_college,llama3-8b,llama3-8b,opposer,supporter,0,q1__free_college__self_play__llama3_8b__llama3_8b__opp_sup__s0__21a04dab92,4,127
llama3-8b,self_play,free_college,llama3-8b,llama3-8b,supporter,opposer,0,q1__free_college__self_play__llama3_8b__llama3_8b__sup_opp__s0__98609ad6b7,4,126
llama3-8b,self_play,medical_marijuana,llama3-8b,llama3-8b,opposer,supporter,0,q1__medical_marijuana__self_play__llama3_8b__llama3_8b__opp_sup__s0__3aa940f007,4,115
llama3-8b,self_play,medical_marijuana,llama3-8b,llama3-8b,supporter,opposer,0,q1__medical_marijuana__self_play__llama3_8b__llama3_8b__sup_opp__s0__4de5274e66,4,114
llama3-8b,self_play,school_uniforms,llama3-8b,llama3-8b,opposer,supporter,0,q1__school_uniforms__self_play__llama3_8b__llama3_8b__opp_sup__s0__aa585a357d,4,123
