conv_id,turn,annotator_id,perceived_persona_warmth,perceived_persona_dominance,perceived_persona_curiosity,perceived_persona_structure,perceived_persona_stability,perceived_persona_deference,perceived_persona_humility,emotional_tone,realized_move,apparent_objective,response_implied_expected_reaction
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,30,gpt_pass_1,3.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,31,gpt_pass_1,1.0,3.0,1.0,1.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,0,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,2.0,2.0,negative,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,1,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,2,gpt_pass_1,2.0,2.0,2.0,3.0,2.0,2.0,3.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,3,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,4,gpt_pass_1,1.0,4.0,1.0,4.0,2.0,0.0,0.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,5,gpt_pass_1,2.0,3.0,2.0,3.0,2.0,2.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,6,gpt_pass_1,1.0,3.0,0.0,2.0,2.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,7,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,8,gpt_pass_1,1.0,4.0,1.0,3.0,2.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,9,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,10,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,11,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,12,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,13,gpt_pass_1,2.0,2.0,2.0,3.0,2.0,2.0,2.0,mixed,clarify,challenge,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,14,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,1.0,2.0,mixed,concede,synthesize,concession
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,15,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,accommodate,persuade,accommodation
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,16,gpt_pass_1,1.0,4.0,1.0,2.0,3.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,17,gpt_pass_1,1.0,3.0,0.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,18,gpt_pass_1,1.0,3.0,2.0,3.0,2.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,19,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,20,gpt_pass_1,1.0,3.0,0.0,3.0,3.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,21,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,22,gpt_pass_1,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,23,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,24,gpt_pass_1,0.0,4.0,0.0,1.0,1.0,0.0,0.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,25,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,26,gpt_pass_1,1.0,3.0,1.0,3.0,4.0,0.0,2.0,mixed,assert,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,27,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,28,gpt_pass_1,1.0,4.0,0.0,4.0,2.0,0.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,29,gpt_pass_1,2.0,3.0,1.0,2.0,3.0,1.0,0.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,30,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,0.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,31,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,1.0,0.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,0,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,2.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,1,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,2,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,3,gpt_pass_1,2.0,3.0,1.0,2.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,4,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,5,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,6,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,7,gpt_pass_1,1.0,3.0,2.0,3.0,2.0,1.0,2.0,mixed,assert,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,8,gpt_pass_1,2.0,3.0,1.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,9,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,clarify,challenge,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,10,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,11,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,12,gpt_pass_1,1.0,3.0,0.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,13,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,14,gpt_pass_1,1.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,15,gpt_pass_1,2.0,3.0,1.0,4.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,16,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,17,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,18,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,19,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,3.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,20,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,1.0,1.0,mixed,synthesize,defend,accommodation
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,21,gpt_pass_1,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,22,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,23,gpt_pass_1,1.0,3.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,24,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,2.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,25,gpt_pass_1,2.0,3.0,2.0,3.0,3.0,1.0,2.0,mixed,clarify,explore,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,26,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,27,gpt_pass_1,2.0,3.0,2.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,28,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,2.0,mixed,clarify,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,29,gpt_pass_1,1.0,3.0,2.0,3.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,30,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,31,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,rebut,challenge,escalation
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,0,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,clarify,challenge,clarification
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,1,gpt_pass_1,1.0,3.0,2.0,3.0,3.0,1.0,2.0,mixed,assert,defend,agreement
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,2,gpt_pass_1,2.0,3.0,2.0,2.0,3.0,2.0,2.0,mixed,rebut,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,3,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,clarify,defend,clarification
