conv_id,turn,perceived_persona_warmth,perceived_persona_dominance,perceived_persona_curiosity,perceived_persona_structure,perceived_persona_stability,perceived_persona_deference,perceived_persona_humility,emotional_tone,realized_move,apparent_objective,response_implied_expected_reaction
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,24,2.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,clarify,defend,uncertain
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,25,2.0,3.0,1.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,26,2.0,3.0,2.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,27,1.0,3.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,28,1.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,29,1.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,30,3.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,31,1.0,3.0,1.0,1.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,negative,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,2,2.0,2.0,2.0,3.0,2.0,2.0,3.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,3,1.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,4,1.0,4.0,1.0,4.0,2.0,0.0,0.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,6,1.0,3.0,0.0,2.0,2.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,7,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,8,1.0,4.0,1.0,3.0,2.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,9,1.0,2.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,10,1.0,2.0,1.0,2.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,11,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,12,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,13,2.0,2.0,2.0,3.0,2.0,2.0,2.0,mixed,clarify,challenge,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,14,1.0,3.0,1.0,3.0,2.0,1.0,2.0,mixed,concede,synthesize,concession
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,15,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,accommodate,persuade,accommodation
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,16,1.0,4.0,1.0,2.0,3.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,17,1.0,3.0,0.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,18,1.0,3.0,2.0,3.0,2.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,19,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,20,1.0,3.0,0.0,3.0,3.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,21,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,22,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,23,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,24,0.0,4.0,0.0,1.0,1.0,0.0,0.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,25,1.0,2.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,26,1.0,3.0,1.0,3.0,4.0,0.0,2.0,mixed,assert,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,27,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,28,1.0,4.0,0.0,4.0,2.0,0.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,29,2.0,3.0,1.0,2.0,3.0,1.0,0.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,30,1.0,3.0,1.0,3.0,2.0,0.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__opp_sup__s0__78d3beb783,31,1.0,3.0,1.0,2.0,2.0,1.0,0.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,1,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,2,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,3,2.0,3.0,1.0,2.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,4,1.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,5,1.0,2.0,1.0,2.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,6,2.0,3.0,1.0,3.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,7,1.0,3.0,2.0,3.0,2.0,1.0,2.0,mixed,assert,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,8,2.0,3.0,1.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,9,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,clarify,challenge,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,10,1.0,2.0,1.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,11,1.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,12,1.0,3.0,0.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,13,1.0,2.0,1.0,3.0,3.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,14,1.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,15,2.0,3.0,1.0,4.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,16,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,17,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,18,1.0,3.0,1.0,2.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,19,1.0,3.0,1.0,2.0,2.0,3.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,20,1.0,2.0,1.0,3.0,3.0,1.0,1.0,mixed,synthesize,defend,accommodation
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,21,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,22,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,23,1.0,3.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,24,2.0,3.0,1.0,3.0,3.0,2.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,25,2.0,3.0,2.0,3.0,3.0,1.0,2.0,mixed,clarify,explore,clarification
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,26,2.0,3.0,1.0,3.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,27,2.0,3.0,2.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,28,1.0,2.0,1.0,2.0,2.0,1.0,2.0,mixed,clarify,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,29,1.0,3.0,2.0,3.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,30,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__llama3_8b__qwen2_5_3b__sup_opp__s0__64b67ede53,31,1.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,rebut,challenge,escalation
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,clarify,challenge,clarification
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,1,1.0,3.0,2.0,3.0,3.0,1.0,2.0,mixed,assert,defend,agreement
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,2,2.0,3.0,2.0,2.0,3.0,2.0,2.0,mixed,rebut,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,3,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,4,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,concede,defend,agreement
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,5,1.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,6,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,concede,defend,agreement
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,7,2.0,3.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,agreement
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,8,1.0,2.0,1.0,3.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,9,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,10,1.0,2.0,1.0,2.0,3.0,2.0,2.0,mixed,clarify,challenge,clarification
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,11,1.0,3.0,1.0,3.0,3.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,12,1.0,2.0,1.0,3.0,3.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,13,0.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,14,1.0,3.0,0.0,2.0,2.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,15,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__self_play__gemma2_9b__gemma2_9b__opp_sup__s0__ffa9d12962,16,2.0,3.0,2.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
